Date,Open,High,Low,Close,Adj Close,Volume
1994-08-15,46.375,46.484375,46.3125,46.3125,27.003111,325900
1994-08-16,46.34375,46.6875,46.15625,46.640625,27.194433,1089500
1994-08-17,46.703125,46.734375,46.578125,46.609375,27.176214,133700
1994-08-18,46.453125,46.5625,46.40625,46.453125,27.085115,620000
1994-08-19,46.46875,46.515625,46.3125,46.421875,27.066883,103200
1994-08-22,46.4375,46.4375,46.28125,46.375,27.039566,79700
1994-08-23,46.578125,46.859375,46.515625,46.640625,27.194433,268600
1994-08-24,46.6875,47.140625,46.671875,47.140625,27.485962,254700
1994-08-25,47.09375,47.203125,46.890625,47.015625,27.413078,147400
1994-08-26,47.125,47.78125,47.125,47.6875,27.804823,339500
1994-08-29,47.8125,47.984375,47.640625,47.65625,27.786602,350300
1994-08-30,47.640625,47.859375,47.578125,47.78125,27.859495,36000
1994-08-31,47.703125,47.890625,47.59375,47.65625,27.786602,356200
1994-09-01,47.5,47.53125,47.328125,47.5,27.695501,294600
1994-09-02,47.71875,47.71875,47.21875,47.296875,27.577068,99600
1994-09-06,47.265625,47.359375,47.125,47.3125,27.586182,229800
1994-09-07,47.421875,47.421875,47.21875,47.265625,27.558853,27900
1994-09-08,47.359375,47.5625,47.34375,47.5,27.695501,284800
1994-09-09,47.03125,47.125,46.8125,47.0,27.403988,488400
1994-09-12,47.0,47.0625,46.78125,46.859375,27.321983,129400
1994-09-13,46.953125,47.125,46.859375,47.0,27.403988,389200
1994-09-14,46.84375,47.109375,46.84375,47.046875,27.431313,423500
1994-09-15,47.171875,47.640625,47.171875,47.640625,27.777512,779800
1994-09-16,47.0,47.140625,46.84375,47.015625,27.579821,571300
1994-09-19,47.125,47.328125,47.015625,47.0625,27.607313,167300
1994-09-20,46.8125,46.859375,46.171875,46.171875,27.084856,355600
1994-09-21,46.3125,46.3125,45.734375,46.171875,27.084856,397500
1994-09-22,46.28125,46.28125,46.015625,46.0625,27.020687,266400
1994-09-23,46.078125,46.171875,45.828125,45.90625,26.929045,176600
1994-09-26,46.078125,46.171875,45.984375,46.140625,27.066519,223000
1994-09-27,46.140625,46.265625,46.0,46.109375,27.048189,479500
1994-09-28,46.359375,46.53125,46.328125,46.46875,27.259014,324000
1994-09-29,46.46875,46.46875,46.09375,46.234375,27.121531,195900
1994-09-30,46.21875,46.4375,46.171875,46.171875,27.084856,5200
1994-10-03,46.203125,46.25,45.984375,46.0625,27.020687,72600
